Continent,Country,Date,Title,Region,SoilLEX.Keyword,translated.title,Link
Oceania,New Zealand,29/09/1941,Soil Conservation and Rivers Control Acts 1941 (No. 12 of 1941).,National,Soil erosion,Soil Conservation and Rivers Control Acts 1941 (No. 12 of 1941).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC069530/
Oceania,New Zealand,29/09/1941,Soil Conservation and Rivers Control Acts 1941 (No. 12 of 1941).,National,Waterlogging,Soil Conservation and Rivers Control Acts 1941 (No. 12 of 1941).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC069530/
North America,Haiti,29/09/1944,"Décret-loi du 29 septembre 1944 coordonnant les activités relatives ŕ la réalisation d'un programme de reboisement, de conservation de sol, d'irrigation et de drainage de nos plaines et nos montagnes et créant le Service des Eaux et Foręts.",National,Soil conservation,"Decree-law of September 29, 1944 coordinating activities relating to the implementation of a program of reforestation, soil conservation, irrigation and drainage of our plains and mountains and creating the Water and Forest Service.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002937/
North America,Haiti,29/09/1944,"Décret-loi du 29 septembre 1944 coordonnant les activités relatives ŕ la réalisation d'un programme de reboisement, de conservation de sol, d'irrigation et de drainage de nos plaines et nos montagnes et créant le Service des Eaux et Foręts.",National,Soil restoration,"Decree-law of September 29, 1944 coordinating activities relating to the implementation of a program of reforestation, soil conservation, irrigation and drainage of our plains and mountains and creating the Water and Forest Service.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002937/
North America,Haiti,29/09/1944,"Décret-loi du 29 septembre 1944 coordonnant les activités relatives ŕ la réalisation d'un programme de reboisement, de conservation de sol, d'irrigation et de drainage de nos plaines et nos montagnes et créant le Service des Eaux et Foręts.",National,Waterlogging,"Decree-law of September 29, 1944 coordinating activities relating to the implementation of a program of reforestation, soil conservation, irrigation and drainage of our plains and mountains and creating the Water and Forest Service.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002937/
North America,Jamaica,20/09/1945,Wildlife Protection Act.,National,Soil conservation,Wildlife Protection Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC022490/
North America,Jamaica,1/01/1946,Agricultural Small Holdings Regulations.,National,Soil conservation,Agricultural Small Holdings Regulations.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC071309/
Oceania,Australia,9/01/1946,Soil and Land Conservation Act 1945.,Western Australia,Soil conservation,Soil and Land Conservation Act 1945.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002458/
South America,Colombia,31/01/1946,Decreto Nş 284 - Aprovechamiento de productos forestales en montes públicos.,National,Soil conservation,Decree No. 284 - Use of forest products in public forests.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC024389/
North America,Jamaica,13/10/1947,Mining Act.,National,Soil pollution,Mining Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC071311/
North America,Jamaica,13/10/1947,Mining Act.,National,Soil restoration,Mining Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC071311/
Asia,India,27/04/1948,"Damodar Valley Corporation Act, 1948 (Act XIV of 1948).",Bihar; West Bengal,Soil erosion,"Damodar Valley Corporation Act, 1948 (Act XIV of 1948).",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC008008/
South America,Argentina,8/09/1948,Ley Nş 13.246 - Ley de arrendamientos rurales y aparcerías.,National,Soil erosion,"Law No. 13,246 - Law on rural leases and sharecropping.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC180915/
North America,Costa Rica,7/11/1949,Constitución Política de la República de Costa Rica.,National,Soil conservation,Political Constitution of the Republic of Costa Rica.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC127451
North America,Costa Rica,7/11/1949,Constitución Política de la República de Costa Rica.,National,Soil pollution,Political Constitution of the Republic of Costa Rica.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC127451
North America,Costa Rica,7/11/1949,Constitución Política de la República de Costa Rica.,National,Waterlogging,Political Constitution of the Republic of Costa Rica.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC127451
North America,Jamaica,23/11/1949,Irrigation Act.,National,Soil pollution,Irrigation Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002454
North America,Jamaica,23/11/1949,Irrigation Act.,National,Waterlogging,Irrigation Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002454
North America,United States of America,1/01/1950,"Preservation of Farm and Forest Lands (Code of Virginia: Title 3.2. Agriculture, Animal Care, and Food; Chapter 2; secs. 3.2-200 through 3.2-206)",Virginia,Soil conservation,"Preservation of Farm and Forest Lands (Code of Virginia: Title 3.2. Agriculture, Animal Care, and Food; Chapter 2; secs. 3.2-200 through 3.2-206)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179089/
North America,United States of America,1/01/1950,"Preservation of Farm and Forest Lands (Code of Virginia: Title 3.2. Agriculture, Animal Care, and Food; Chapter 2; secs. 3.2-200 through 3.2-206)",Virginia,Soil erosion,"Preservation of Farm and Forest Lands (Code of Virginia: Title 3.2. Agriculture, Animal Care, and Food; Chapter 2; secs. 3.2-200 through 3.2-206)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179089/
North America,United States of America,1/01/1950,"Preservation of Farm and Forest Lands (Code of Virginia: Title 3.2. Agriculture, Animal Care, and Food; Chapter 2; secs. 3.2-200 through 3.2-206)",Virginia,Soil quality,"Preservation of Farm and Forest Lands (Code of Virginia: Title 3.2. Agriculture, Animal Care, and Food; Chapter 2; secs. 3.2-200 through 3.2-206)",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC179089/
North America,St. Vin. and Gren.,21/06/1951,Agriculture Act No. 23 of 1951.,National,Soil conservation,Agriculture Act No. 23 of 1951.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC017787/
North America,St. Vin. and Gren.,21/06/1951,Agriculture Act No. 23 of 1951.,National,Soil erosion,Agriculture Act No. 23 of 1951.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC017787/
Asia,Sri Lanka,13/08/1951,Soil Conservation Act 1951 (No. 25 of 1951).,National,Soil conservation,Soil Conservation Act 1951 (No. 25 of 1951).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC014668/
Asia,Sri Lanka,13/08/1951,Soil Conservation Act 1951 (No. 25 of 1951).,National,Soil pollution,Soil Conservation Act 1951 (No. 25 of 1951).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC014668/
Africa,eSwatini,7/12/1951,Natural Resources Act 1951 (No. 71 of 1951).,National,Nutrient Imbalance,Natural Resources Act 1951 (No. 71 of 1951).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC012334/
Africa,eSwatini,7/12/1951,Natural Resources Act 1951 (No. 71 of 1951).,National,Soil conservation,Natural Resources Act 1951 (No. 71 of 1951).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC012334/
Africa,eSwatini,7/12/1951,Natural Resources Act 1951 (No. 71 of 1951).,National,Soil pollution,Natural Resources Act 1951 (No. 71 of 1951).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC012334/
Africa,Zimbabwe,1/01/1952,"Fertilizers, Farm Feeds and Remedies Act [Chapter 18:12].",National,Nutrient Imbalance,"Fertilizers, Farm Feeds and Remedies Act [Chapter 18:12].",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC024974/
Asia,Philippines,24/04/1952,Agricultural Extension Act (Republic Act No. 680).,National,Soil conservation,Agricultural Extension Act (Republic Act No. 680).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC022494/
North America,Costa Rica,7/03/1953,Ley Nş 1540 - Ley de conservación de los recursos naturales renovables.,National,Soil conservation,Law No. 1540 - Law on the Conservation of Renewable Natural Resources.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC003003/
North America,Costa Rica,7/03/1953,Ley Nş 1540 - Ley de conservación de los recursos naturales renovables.,National,Soil erosion,Law No. 1540 - Law on the Conservation of Renewable Natural Resources.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC003003/
North America,Costa Rica,7/03/1953,Ley Nş 1540 - Ley de conservación de los recursos naturales renovables.,National,Soil restoration,Law No. 1540 - Law on the Conservation of Renewable Natural Resources.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC003003/
Europe,Albania,26/03/2001,Law No. 8752 on the creation and operation of land protection and administration structures.,National,Nutrient Imbalance,Law No. 8752 on the creation and operation of land protection and administration structures.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC060448/
Africa,Ghana,11/08/1953,Land Planning and Soil Conservation Act.,National,Soil conservation,Land Planning and Soil Conservation Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC003102/
Africa,Ghana,11/08/1953,Land Planning and Soil Conservation Act.,National,Soil erosion,Land Planning and Soil Conservation Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC003102/
North America,United States of America,4/08/1954,Watershed Protection and Flood Prevention Act (P.L. 83-566).,National,Soil conservation,Watershed Protection and Flood Prevention Act (P.L. 83-566).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC144317/
North America,United States of America,4/08/1954,Watershed Protection and Flood Prevention Act (P.L. 83-566).,National,Soil erosion,Watershed Protection and Flood Prevention Act (P.L. 83-566).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC144317/
North America,United States of America,4/08/1954,Watershed Protection and Flood Prevention Act (P.L. 83-566).,National,Soil restoration,Watershed Protection and Flood Prevention Act (P.L. 83-566).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC144317/
Africa,eSwatini,17/11/1954,Order by Ngwenyama in Libandla (No. 4 of 1954).,National,Soil erosion,Order by Lion in Churches (No. 4 of 1954).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC062081/
Africa,eSwatini,17/11/1954,Order by Ngwenyama in Libandla (No. 4 of 1954).,National,Soil restoration,Order by Lion in Churches (No. 4 of 1954).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC062081/
Africa,Kenya,1/07/1955,Agriculture Act (Cap. 318).,National,Nutrient Imbalance,Agriculture Act (Cap. 318).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC063314/
Africa,Kenya,1/07/1955,Agriculture Act (Cap. 318).,National,Soil conservation,Agriculture Act (Cap. 318).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC063314/
Africa,Kenya,1/07/1955,Agriculture Act (Cap. 318).,National,Soil erosion,Agriculture Act (Cap. 318).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC063314/
North America,Jamaica,18/01/1957,Land Valuation Act.,National,Soil conservation,Land Valuation Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC071314/
Europe,Albania,26/03/2001,Law No. 8752 on the creation and operation of land protection and administration structures.,National,Soil conservation,Law No. 8752 on the creation and operation of land protection and administration structures.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC060448/
North America,Jamaica,1/02/1958,Town and Country Planning Act.,National,Soil sealing,Town and Country Planning Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC071240/
North America,Haiti,19/09/1958,"Loi du 19 septembre 1958 protégeant le sol contre l'érosion, déterminant l'étendue des zones et réglementant l'exploitation forestičre en Haiti.",National,Soil conservation,"Law of September 19, 1958 protecting the soil against erosion, determining the extent of zones and regulating logging in Haiti.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002855/
North America,Haiti,19/09/1958,"Loi du 19 septembre 1958 protégeant le sol contre l'érosion, déterminant l'étendue des zones et réglementant l'exploitation forestičre en Haiti.",National,Soil erosion,"Law of September 19, 1958 protecting the soil against erosion, determining the extent of zones and regulating logging in Haiti.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002855/
Africa,Congo,23/04/1991,Loi nş 003/91 sur la protection de l'environnement.,National,Soil conservation,Law No. 003/91 on environmental protection.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC146342/
Africa,Burundi,26/11/1958,Décret du 26 novembre 1958 sur la conservation et utilisation des sols.,National,Soil conservation,"Decree of November 26, 1958 on the conservation and use of soil.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC039375/
Africa,Congo,23/04/1991,Loi nş 003/91 sur la protection de l'environnement.,National,Soil pollution,Law No. 003/91 on environmental protection.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC146342/
Africa,Tanzania,1/01/1959,Ngorongoro Conservation Area Ordinance (No. 14 of 1959).,National,Soil conservation,Ngorongoro Conservation Area Ordinance (No. 14 of 1959).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC017716/
Africa,Tanzania,1/01/1959,Ngorongoro Conservation Area Ordinance (No. 14 of 1959).,National,Soil erosion,Ngorongoro Conservation Area Ordinance (No. 14 of 1959).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC017716/
North America,Bahamas,1/02/1959,Soil Conservation (Scotland District) Act.,National,Soil conservation,Soil Conservation (Scotland District) Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC081088/
North America,Bahamas,1/02/1959,Soil Conservation (Scotland District) Act.,National,Soil restoration,Soil Conservation (Scotland District) Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC081088/
Europe,Albania,17/06/2004,Law No. 9244 on agricultural land protection.,National,Soil conservation,Law No. 9244 on agricultural land protection.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC066988/
Africa,Seychelles,2/12/1959,Geological and Soil Surveys Act (Cap. 89).,National,Soil monitoring,Geological and Soil Surveys Act (Cap. 89).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC116486/
South America,Colombia,16/12/1959,Ley Nş 2 - Economía forestal y conservación de recursos naturales renovables.,National,Soil conservation,Law No. 2 - Forestry economy and conservation of renewable natural resources.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC024341/
South America,Colombia,16/12/1959,Ley Nş 2 - Economía forestal y conservación de recursos naturales renovables.,National,Soil monitoring,Law No. 2 - Forestry economy and conservation of renewable natural resources.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC024341/
Oceania,Australia,23/12/1959,Closer Settlement Act 1957.,Tasmania,Soil conservation,Closer Settlement Act 1957.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC197104/
Asia,Malaysia,23/04/1960,"Land Conservation Act, 1960 (Act No. 3 of 1960).",National,Soil conservation,"Land Conservation Act, 1960 (Act No. 3 of 1960).",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC091384/
Asia,Malaysia,23/04/1960,"Land Conservation Act, 1960 (Act No. 3 of 1960).",National,Soil erosion,"Land Conservation Act, 1960 (Act No. 3 of 1960).",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC091384/
South America,Argentina,1/01/1961,Ley Nş 229 - Ley de conservación de suelos y aprovechamiento de los recursos naturales.,Santa Cruz,Soil conservation,Law No. 229 - Law on soil conservation and use of natural resources.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC047050/
South America,Argentina,1/01/1961,Ley Nş 229 - Ley de conservación de suelos y aprovechamiento de los recursos naturales.,Santa Cruz,Soil erosion,Law No. 229 - Law on soil conservation and use of natural resources.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC047050/
South America,Argentina,1/01/1961,Ley Nş 229 - Ley de conservación de suelos y aprovechamiento de los recursos naturales.,Santa Cruz,Soil restoration,Law No. 229 - Law on soil conservation and use of natural resources.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC047050/
Africa,Kenya,1/01/1962,Coffee (Cultivation and Processing) Rules.,National,Nutrient Imbalance,Coffee (Cultivation and Processing) Rules.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC063659/
Africa,Kenya,1/01/1962,Coffee (Cultivation and Processing) Rules.,National,Soil erosion,Coffee (Cultivation and Processing) Rules.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC063659/
North America,Dominican Rep.,27/04/1962,Ley Nş 5.879 - Reforma Agraria.,National,Soil pollution,"Law No. 5,879 - Agrarian Reform.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC004957/
North America,Dominican Rep.,27/04/1962,Ley Nş 5.879 - Reforma Agraria.,National,Soil quality,"Law No. 5,879 - Agrarian Reform.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC004957/
North America,Dominican Rep.,27/04/1962,Ley Nş 5.879 - Reforma Agraria.,National,Soil sealing,"Law No. 5,879 - Agrarian Reform.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC004957/
Africa,Ghana,20/06/1962,"Survey Act, 1962 (No. 127).",National,Soil monitoring,"Survey Act, 1962 (No. 127).",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC085968/
Africa,Madagascar,30/01/1963,Décret nş 63-057 portant organisation de la direction des eaux et foręts et de la conservation des sols.,National,Soil conservation,Decree No. 63-057 organizing the water and forestry and soil conservation department.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002825/
Africa,Madagascar,30/01/1963,Décret nş 63-057 portant organisation de la direction des eaux et foręts et de la conservation des sols.,National,Soil erosion,Decree No. 63-057 organizing the water and forestry and soil conservation department.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002825/
Africa,Madagascar,30/01/1963,Décret nş 63-057 portant organisation de la direction des eaux et foręts et de la conservation des sols.,National,Soil restoration,Decree No. 63-057 organizing the water and forestry and soil conservation department.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002825/
North America,Jamaica,1/04/1963,Watershed Protection Act.,National,Soil conservation,Watershed Protection Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002465/
North America,Jamaica,1/04/1963,Watershed Protection Act.,National,Waterlogging,Watershed Protection Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC002465/
Africa,Gabon,8/05/1963,Loi n°14/63 fixant la composition du domaine de l'Etat et les rčgles qui en déterminent les modes de gestion et d'aliénation,National,Soil conservation,Law No. 14/63 establishing the composition of the State domain and the rules which determine the methods of management and alienation,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC001505
Europe,Albania,17/06/2004,Law No. 9244 on agricultural land protection.,National,Soil restoration,Law No. 9244 on agricultural land protection.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC066988/
Europe,Albania,28/01/2005,Regulation No. 59 on the analysis of agricultural land indicators.,National,Nutrient Imbalance,Regulation No. 59 on the analysis of agricultural land indicators.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC066989/
North America,Haiti,27/08/1963,"Loi décrétant \Zone sous protection\"" le bassin hydrographique Morne l'Hôpital.""",National,Soil conservation,Law decreeing the Morne l’Hôpital watershed as a “protected zone”.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC039437/
Asia,India,20/06/1964,"Kerala Land Development Act, 1964 (Act No. 17 of 1964).",Kerala,Soil conservation,"Kerala Land Development Act, 1964 (Act No. 17 of 1964).",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC118271/
Asia,India,20/06/1964,"Kerala Land Development Act, 1964 (Act No. 17 of 1964).",Kerala,Soil erosion,"Kerala Land Development Act, 1964 (Act No. 17 of 1964).",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC118271/
South America,Brazil,30/11/1964,Law No. 4.504 regulating rights and obligations regarding rural real estates in order to implement the Agricultural Reform and to promote the Agricultural Policy.,National,Soil conservation,Law No. 4.504 regulating rights and obligations regarding rural real estates in order to implement the Agricultural Reform and to promote the Agricultural Policy.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC010487
Africa,Kenya,1/01/1965,Agriculture (Basic Land Usage) Rules (L.N.26/1965).,National,Soil conservation,Agriculture (Basic Land Usage) Rules (L.N.26/1965).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC063316/
Africa,Kenya,1/01/1965,Agriculture (Basic Land Usage) Rules (L.N.26/1965).,National,Soil erosion,Agriculture (Basic Land Usage) Rules (L.N.26/1965).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC063316/
North America,Dominican Rep.,9/09/1965,Ley Nş 6 - Crea el Instituto Nacional de Recursos Hidráulicos (INDRHI).,National,Soil conservation,Law No. 6 - Creates the National Institute of Hydraulic Resources (INDRHI).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC174645/
North America,Dominican Rep.,9/09/1965,Ley Nş 6 - Crea el Instituto Nacional de Recursos Hidráulicos (INDRHI).,National,Soil quality,Law No. 6 - Creates the National Institute of Hydraulic Resources (INDRHI).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC174645/
North America,Dominican Rep.,9/09/1965,Ley Nş 6 - Crea el Instituto Nacional de Recursos Hidráulicos (INDRHI).,National,Waterlogging,Law No. 6 - Creates the National Institute of Hydraulic Resources (INDRHI).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC174645/
North America,Trinidad and Tobago,24/11/1965,Agricultural Fires (Cap. 63:02).,National,Soil biodiversity loss,Agricultural Fires (Cap. 63:02).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC060711/
North America,Trinidad and Tobago,24/11/1965,Agricultural Fires (Cap. 63:02).,National,Soil conservation,Agricultural Fires (Cap. 63:02).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC060711/
North America,Trinidad and Tobago,24/11/1965,Agricultural Fires (Cap. 63:02).,National,Soil pollution,Agricultural Fires (Cap. 63:02).,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC060711/
South America,Venezuela,30/12/1965,"Ley forestal, de suelos y de aguas.",National,Soil conservation,"Forestry, soil and water law.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC003045/
South America,Venezuela,30/12/1965,"Ley forestal, de suelos y de aguas.",National,Soil pollution,"Forestry, soil and water law.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC003045/
South America,Venezuela,30/12/1965,"Ley forestal, de suelos y de aguas.",National,Soil restoration,"Forestry, soil and water law.",https://www.fao.org/faolex/results/details/en/c/LEX-FAOC003045/
North America,Jamaica,1/12/1966,Land Development and Utilization Act.,National,Soil conservation,Land Development and Utilization Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC022487/
North America,Jamaica,1/12/1966,Land Development and Utilization Act.,National,Soil monitoring,Land Development and Utilization Act.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC022487/
